id;ehit_id;nliik_kood;kuju_jnr;gis_kood;nimetus;sissepaasu_punkt;ads_oid;geometry;kuju_moodustusviis;date_created;date_updated;ehr_kood;adob_id;ads_liik;tyhistatud_kp;nahtus;taisaadress;lahiaadress;pindala;viitepunkt_x;viitepunkt_y;geom_updated
1579650;4513355;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE00889077;01030000000100000009000000C3F528DC672F23419A99993900245941D7A3703D582F23417B14AE7700245941E17A142E572F234152B81E0501245941713D0AD74F2F234148E17A4401245941C3F528DC512F2341E17A146E062459418FC2F5A8582F2341EC51B86E062459413D0AD7A3592F2341CDCCCC0C07245941333333B36B2F2341C3F528FC06245941C3F528DC672F23419A99993900245941;D;2017-06-27 13:50:29.088393;2023-04-18 08:06:25.159538;108001049;7354868;EE;;HOONE;Lääne-Viru maakond, Haljala vald, Haljala alevik, Tallinna mnt 1;Tallinna mnt 1;328.7;628656.10;6590478.84;2017-06-27 13:50:29
1606244;4539367;SLMAA;1;1;SIDEKANALISATSIOON;;;;;2017-08-01 13:32:29.648000;2019-04-09 00:24:38.519409;220831800;;;;SIDE;Harju maakond, Tallinn, Nõmme linnaosa, Kadaka puiestee T7 // Tammepärja tn;Kadaka puiestee T7 // Tammepärja tn;;;;
1606244;4539367;SLMAA;1;1;SIDEKANALISATSIOON;;;;;2017-08-01 13:32:29.648000;2019-04-09 00:24:38.519409;220831800;;;;SIDE;Harju maakond, Tallinn, Nõmme linnaosa, Kadaka puiestee T7 // Tammepärja tn;Kadaka puiestee T7 // Tammepärja tn;;;;
1606244;4539367;SLMAA;1;1;SIDEKANALISATSIOON;;;;;2017-08-01 13:32:29.648000;2019-04-09 00:24:38.519409;220831800;;;;SIDE;Harju maakond, Tallinn, Nõmme linnaosa, Kadaka puiestee T7 // Tammepärja tn;Kadaka puiestee T7 // Tammepärja tn;;;;
1606244;4539367;SLMAA;1;1;SIDEKANALISATSIOON;;;;;2017-08-01 13:32:29.648000;2019-04-09 00:24:38.519409;220831800;;;;SIDE;Harju maakond, Tallinn, Nõmme linnaosa, Kadaka puiestee T7 // Tammepärja tn;Kadaka puiestee T7 // Tammepärja tn;;;;
1606244;4539367;SLMAA;1;1;SIDEKANALISATSIOON;;;;;2017-08-01 13:32:29.648000;2019-04-09 00:24:38.519409;220831800;;;;SIDE;Harju maakond, Tallinn, Nõmme linnaosa, Kadaka puiestee T7 // Tammepärja tn;Kadaka puiestee T7 // Tammepärja tn;;;;
1615461;4548393;SEHIT;1;123456;Aktiivkapi paigaldus;;;010300000001000000040000000AD7A3F0AC782041F6285C3F6C1D5941C3F5285CB17820418FC2F5086D1D5941AE47E17AAF782041B81E850B6D1D59410AD7A3F0AC782041F6285C3F6C1D5941;D;2017-08-14 15:18:31.024804;2023-06-12 10:09:04.738538;220806380;;ME;;SIDE;Harju maakond, Tallinn, Nõmme linnaosa, Piiri tänav T1;Piiri tänav T1;1.5;539735.63;6583731.10;2017-08-14 15:18:31
2006310;4933394;;1;;Varjualune;;ME03485666;01030000000100000005000000CDCCCCCC38D1194100000020FDAE5841333333331DD11941666666E6FCAE58419A99999921D11941000000C0FAAE5841333333333DD119419A9999F9FAAE5841CDCCCCCC38D1194100000020FDAE5841;D;2017-11-06 12:17:58.141129;2017-11-06 12:17:58.141129;120767995;7790970;ME;;HOONE;Saare maakond, Saaremaa vald, Kõljala küla, Turja;Turja;60.3;422987.30;6470639.75;2017-11-06 12:17:58
2436968;5361126;SLMAA;1;1;sidekanalisatsioon;;;;;2017-11-21 20:24:32.727000;2019-04-09 00:26:30.538911;220845104;;;;SIDE;Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 1c // 1e;Merivälja tee 1c // Merivälja tee 1e;;;;
2436968;5361126;SLMAA;1;1;sidekanalisatsioon;;;;;2017-11-21 20:24:32.727000;2019-04-09 00:26:30.538911;220845104;;;;SIDE;Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 1c // 1e;Merivälja tee 1c // Merivälja tee 1e;;;;
2436968;5361126;SLMAA;1;1;sidekanalisatsioon;;;;;2017-11-21 20:24:32.727000;2019-04-09 00:26:30.538911;220845104;;;;SIDE;Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 1c // 1e;Merivälja tee 1c // Merivälja tee 1e;;;;
2436968;5361126;SLMAA;1;1;sidekanalisatsioon;;;;;2017-11-21 20:24:32.727000;2019-04-09 00:26:30.538911;220845104;;;;SIDE;Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 1c // 1e;Merivälja tee 1c // Merivälja tee 1e;;;;
2449936;5373704;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE00632515;0103000000010000000A0000000AD7A3F02F7C204185EB51D8BA1C59410AD7A3F0237C204148E17AA4B91C59410AD7A3F0227C2041CDCCCCCCB91C5941F6285C0F1E7C204100000050B91C594148E17A141F7C20417B14AE27B91C594133333333147C20410AD7A310B81C59419A9999991D7C204185EB5198B61C59418FC2F528207C2041295C8F32B61C5941666666E63B7C2041AE47E1FAB81C59410AD7A3F02F7C204185EB51D8BA1C5941;K;2017-12-05 14:33:54.426735;2017-12-05 14:33:54.426735;101009007;6427090;EE;;HOONE;Harju maakond, Tallinn, Nõmme linnaosa, Vabaduse pst 33;Vabaduse pst 33;172.6;540179.97;6583010.14;2017-12-05 14:33:54
2456737;5380317;MMARAJAT;1;1;Biopuhasti;;;;;2017-12-12 15:08:10.503000;2018-01-03 16:26:05.156667;220847416;;;;RAJATIS;Rapla maakond, Kohila vald, Pahkla küla, Kasepere;Kasepere;;;;
2475093;5397729;;1;;;;EE01017175;01030000000100000008000000F6285C8F0B2B21415C8FC2C50010594185EB51B8002B21418FC2F578001059413D0AD723082B214166666646FC0F59417B14AEC70C2B2141713D0A67FC0F59417B14AE471A2B2141666666C6FC0F594148E17A94162B2141F6285CDFFE0F59417B14AE470F2B2141B81E85ABFE0F5941F6285C8F0B2B21415C8FC2C500105941;K;2018-01-09 15:51:31.825333;2019-04-09 00:26:37.555689;116017635;6263134;EE;;HOONE;Harju maakond, Rae vald, Urvaste küla, Väljaotsa // Väljaotsa/1;Väljaotsa // Väljaotsa/1;127.6;562566.30;6569977.29;2018-01-09 15:51:31
2483262;5405777;;1;;kuur;;;01030000000100000005000000713D0A5718892641AE47E1BA7A245941EC51B81E1F892641333333437B2459415C8FC275148926410AD7A3607D245941333333B30D89264185EB51D87C245941713D0A5718892641AE47E1BA7A245941;D;2018-01-21 20:02:15.204000;2018-01-21 20:23:23.362096;120850693;;EE;;HOONE;Ida-Viru maakond, Narva linn, 2. Jõe tänav/3;2. Jõe tänav/3;;;;2018-01-21 20:09:41
2483262;5405777;;1;;kuur;;;01030000000100000005000000713D0A5718892641AE47E1BA7A245941EC51B81E1F892641333333437B2459415C8FC275148926410AD7A3607D245941333333B30D89264185EB51D87C245941713D0A5718892641AE47E1BA7A245941;D;2018-01-21 20:02:15.204000;2018-01-21 20:23:23.362096;120850693;;EE;;HOONE;Ida-Viru maakond, Narva linn, 2. Jõe tänav/3;2. Jõe tänav/3;;;;2018-01-21 20:09:41
2490998;5413411;;1;;Suvila;;ME01651184;01030000000100000005000000C3F5285C50132041EC51B86EEB8858411F85EBD1441320411F85EB41ED885841E17A142E2C132041295C8FD2EA88584185EB51B837132041F6285CFFE8885841C3F5285C50132041EC51B86EEB885841;K;2018-01-31 14:03:47.936916;2018-02-01 09:21:51.664906;103050235;8404598;ME;;HOONE;Pärnu maakond, Häädemeeste vald, Penu küla, Kura puhkebaas;Kura puhkebaas;117.4;526750.83;6431660.95;2018-02-01 09:21:51
2530526;5452131;PAED;1;1;piirdeaed;;;;;2018-03-22 05:28:35.025000;2018-03-22 05:28:34.754571;220856376;;;;RAJATIS;Harju maakond, Tallinn, Nõmme linnaosa, Remmelga tn 4;Remmelga tn 4;;;;
2542241;5463550;PAED;1;1;Piirdeaed;;;010200000006000000B81E85EB54BD2041C3F5283CEC20594185EB51B8D0BC20410AD7A380EE205941713D0A57E5BC204114AE47010121594148E17A1476BD2041333333A3FE2059410AD7A3F0AABD20419A9999D9FD20594152B81E8563BE20418FC2F598FA205941;D;2018-04-08 22:14:30.880000;2018-04-08 22:24:36.903595;220858232;;;;RAJATIS;Harju maakond, Tallinn, Lasnamäe linnaosa, Betooni põik 10;Betooni põik 10;;;;2018-04-08 22:24:32
2580527;5500574;PAED;1;1;Piirdeaed;;;01050000000200000001020000000400000085EB51B8C7832041A4703D7ABE1E5941713D0A57F58320413D0AD723BE1E5941B81E85EBF98320413D0AD783BE1E5941295C8FC2FA832041B81E855BBF1E5941010200000005000000AE47E17AFB83204100000040C01E59410AD7A370FD83204100000040C01E594152B81E850A84204133333393C81E59417B14AE4701842041EC51B80ECA1E5941666666E6D083204185EB5158CA1E5941;D;2018-05-23 09:19:01.865000;2018-12-14 14:08:01.509905;220862598;;;;RAJATIS;Harju maakond, Tallinn, Kristiine linnaosa, Järve tn 10;Järve tn 10;;;;2018-12-14 14:08:01
2580527;5500574;PAED;1;1;Piirdeaed;;;01050000000200000001020000000400000085EB51B8C7832041A4703D7ABE1E5941713D0A57F58320413D0AD723BE1E5941B81E85EBF98320413D0AD783BE1E5941295C8FC2FA832041B81E855BBF1E5941010200000005000000AE47E17AFB83204100000040C01E59410AD7A370FD83204100000040C01E594152B81E850A84204133333393C81E59417B14AE4701842041EC51B80ECA1E5941666666E6D083204185EB5158CA1E5941;D;2018-05-23 09:19:01.865000;2018-12-14 14:08:01.509905;220862598;;;;RAJATIS;Harju maakond, Tallinn, Kristiine linnaosa, Järve tn 10;Järve tn 10;;;;2018-12-14 14:08:01
2601518;5520610;SALVK;1;1;salvkaev;;;0101000000CDCCCCCC474A26419A99995988285941;D;2018-06-15 09:56:37.038000;2018-06-15 09:57:36.261825;220864996;;;;RAJATIS;Ida-Viru maakond, Narva linn, Vee tn 66;Vee tn 66;;;;2018-06-15 09:57:36
